t # 0
v 0 2
v 1 2
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 2
v 15 2
v 16 2
v 17 2
v 18 2
v 19 2
v 20 2
v 21 2
v 22 2
v 23 2
v 24 2
v 25 2
v 26 2
v 27 2
v 28 2
v 29 2
v 30 2
v 31 2
v 32 2
v 33 2
v 34 2
v 35 2
v 36 2
v 37 2
v 38 2
v 39 2
v 40 2
v 41 2
v 42 2
v 43 2
v 44 2
v 45 2
v 46 2
v 47 2
v 48 2
v 49 2
v 50 2
v 51 2
v 52 2
v 53 2
v 54 2
v 55 2
v 56 2
v 57 2
v 58 2
v 59 2
v 60 2
v 61 2
v 62 2
v 63 2
v 64 2
v 65 2
v 66 2
v 67 2
v 68 2
e 2 3 9
e 2 6 4
e 3 6 9
e 6 8 9
e 0 9 12
e 8 11 9
e 7 11 6
e 5 12 17
e 5 13 0
e 6 14 4
e 11 14 9
e 7 15 1
e 11 15 6
e 10 16 15
e 14 16 4
e 13 17 0
e 1 18 7
e 17 19 0
e 16 20 4
e 14 21 9
e 16 22 15
e 20 22 5
e 22 23 15
e 20 23 4
e 22 25 5
e 15 25 1
e 15 26 6
e 23 27 4
e 9 28 12
e 19 29 0
e 21 30 9
e 26 30 6
e 25 31 5
e 29 32 10
e 17 32 2
e 27 33 4
e 31 33 5
e 24 34 3
e 32 35 2
e 30 36 6
e 25 36 1
e 28 38 12
e 32 39 10
e 34 40 3
e 29 40 0
e 33 41 4
e 30 42 9
e 36 42 6
e 40 43 3
e 33 43 5
e 43 44 3
e 40 45 0
e 44 46 3
e 43 46 5
e 46 47 5
e 39 47 10
e 47 48 5
e 36 48 1
e 23 49 15
e 41 49 4
e 4 50 16
e 49 52 4
e 48 52 5
e 52 53 5
e 51 54 18
e 35 54 2
e 12 55 17
e 50 55 16
e 54 56 2
e 28 57 8
e 52 58 4
e 53 58 5
e 58 59 5
e 54 60 18
e 56 60 2
e 49 61 15
e 59 61 5
e 55 62 16
e 45 62 0
e 61 63 15
e 46 63 3
e 58 64 4
e 63 64 3
e 64 65 3
e 62 66 0
e 42 67 9
e 61 68 5
e 47 68 10
t # -1
